frame_idx,timestamp_ns,gaze_x_px,gaze_y_px,object_id,object_class
0,1763649011136000000,927,174,-1,none
1,1763649011186000000,927,174,-1,none
2,1763649011236000000,927,174,-1,none
3,1763649011286000000,927,174,-1,none
4,1763649011336000000,927,174,-1,none
5,1763649011386000000,927,174,-1,none
6,1763649011436000000,927,174,-1,none
7,1763649011486000000,927,174,-1,none
8,1763649011536000000,927,174,-1,none
9,1763649011586000000,927,174,-1,none
10,1763649011636000000,927,174,-1,none
11,1763649011686000000,927,174,-1,none
12,1763649011736000000,927,174,-1,none
13,1763649011786000000,927,174,-1,none
14,1763649011836000000,927,174,-1,none
15,1763649011886000000,927,174,-1,none
16,1763649011936000000,927,174,-1,none
17,1763649011986000000,927,174,-1,none
18,1763649012036000000,927,174,-1,none
19,1763649012086000000,927,174,-1,none
20,1763649012136000000,927,174,-1,none
21,1763649012186000000,927,174,-1,none
22,1763649012236000000,927,174,-1,none
23,1763649012286000000,927,174,-1,none
24,1763649012336000000,927,174,-1,none
25,1763649012386000000,927,174,-1,none
26,1763649012436000000,927,174,-1,none
27,1763649012486000000,927,174,-1,none
28,1763649012536000000,927,174,-1,none
29,1763649012586000000,927,174,-1,none
30,1763649012636000000,927,174,-1,none
31,1763649012686000000,927,174,-1,none
32,1763649012736000000,927,174,-1,none
33,1763649012786000000,927,174,-1,none
34,1763649012836000000,927,174,-1,none
35,1763649012886000000,927,174,-1,none
36,1763649012936000000,927,174,-1,none
37,1763649012986000000,927,174,-1,none
38,1763649013036000000,927,174,-1,none
39,1763649013086000000,927,174,-1,none
40,1763649013136000000,927,174,-1,none
41,1763649013185999999,927,174,-1,none
42,1763649013236000000,927,174,-1,none
43,1763649013286000000,927,174,-1,none
44,1763649013336000000,927,174,-1,none
45,1763649013386000000,927,174,-1,none
46,1763649013436000000,927,174,-1,none
47,1763649013486000000,927,174,-1,none
48,1763649013536000000,927,174,-1,none
49,1763649013586000000,927,174,-1,none
50,1763649013636000000,927,174,-1,none
51,1763649013686000000,927,174,-1,none
52,1763649013736000000,927,174,-1,none
53,1763649013786000000,927,174,-1,none
54,1763649013836000000,927,174,-1,none
55,1763649013886000000,927,174,-1,none
56,1763649013936000000,927,174,-1,none
57,1763649013986000000,878,3,-1,none
58,1763649014036000000,890,19,-1,none
59,1763649014086000000,849,90,-1,none
60,1763649014136000000,823,169,-1,none
61,1763649014186000000,810,215,-1,none
62,1763649014236000000,836,240,-1,none
63,1763649014282944444,844,263,-1,none
64,1763649014295933333,763,283,-1,none
65,1763649014329277777,602,331,-1,none
66,1763649014362622222,609,371,31,car
67,1763649014395966666,617,400,82,car
68,1763649014429311111,439,509,21,person
69,1763649014462644444,505,538,89,car
70,1763649014495988888,776,318,-1,none
71,1763649014529333333,749,344,-1,none
72,1763649014562677777,753,350,-1,none
73,1763649014596022222,749,328,-1,none
74,1763649014629355555,741,329,-1,none
75,1763649014662700000,739,340,-1,none
76,1763649014696044444,737,336,-1,none
77,1763649014729388888,772,334,-1,none
78,1763649014762733333,1017,403,-1,none
79,1763649014796077777,978,395,-1,none
80,1763649014829411111,973,385,17,car
81,1763649014862755555,961,374,17,car
82,1763649014896100000,950,386,17,car
83,1763649014929444444,950,379,17,car
84,1763649014962788888,904,328,17,car
85,1763649014996122222,911,323,17,car
86,1763649015029466666,910,338,17,car
87,1763649015062811111,919,332,17,car
88,1763649015096155555,915,332,17,car
89,1763649015129500000,912,341,17,car
90,1763649015162844444,908,341,17,car
91,1763649015196177777,916,350,17,car
92,1763649015229522222,907,350,17,car
93,1763649015262866666,903,356,17,car
94,1763649015296211111,902,355,-1,none
95,1763649015329555555,817,396,-1,none
96,1763649015362899999,636,389,-1,none
97,1763649015396233333,568,466,82,car
98,1763649015429577777,556,465,82,car
99,1763649015462922222,575,463,82,car
100,1763649015496266666,576,414,82,car
101,1763649015529611111,579,436,82,car
102,1763649015562944444,585,412,82,car
103,1763649015596288888,593,428,82,car
104,1763649015629633333,585,392,82,car
105,1763649015662977777,590,400,82,car
106,1763649015696322222,600,406,82,car
107,1763649015729666666,603,393,-1,none
108,1763649015763000000,597,392,-1,none
109,1763649015796344444,580,438,-1,none
110,1763649015829688888,405,546,82,car
111,1763649015863033333,577,404,-1,none
112,1763649015896377777,598,381,-1,none
113,1763649015929722222,608,372,-1,none
114,1763649015963055555,618,352,-1,none
115,1763649015996400000,618,349,-1,none
116,1763649016029744444,633,327,-1,none
117,1763649016063088888,646,350,-1,none
118,1763649016096433333,610,452,-1,none
119,1763649016129766666,841,539,-1,none
120,1763649016163111111,551,531,-1,none
121,1763649016196455555,736,356,-1,none
122,1763649016229800000,726,387,-1,none
123,1763649016263144444,745,369,-1,none
124,1763649016296488888,738,370,-1,none
125,1763649016329822222,738,360,-1,none
126,1763649016363166666,752,353,-1,none
127,1763649016396511111,745,351,-1,none
128,1763649016429855555,740,332,-1,none
129,1763649016463200000,750,318,-1,none
130,1763649016496533333,754,317,-1,none
131,1763649016529877777,754,307,-1,none
132,1763649016563222222,757,310,-1,none
133,1763649016596566666,748,300,-1,none
134,1763649016629911111,745,303,-1,none
135,1763649016663255555,734,299,-1,none
136,1763649016696588888,709,314,-1,none
137,1763649016729933333,709,303,-1,none
138,1763649016763277777,706,310,-1,none
139,1763649016796622222,711,307,-1,none
140,1763649016829966666,714,308,-1,none
141,1763649016863300000,707,315,-1,none
142,1763649016896644444,711,312,-1,none
143,1763649016929988888,697,318,-1,none
144,1763649016963333333,709,324,-1,none
145,1763649016996677777,665,475,-1,none
146,1763649017030022222,584,410,-1,none
147,1763649017063355555,741,322,-1,none
148,1763649017096700000,742,338,-1,none
149,1763649017130044444,741,343,-1,none
150,1763649017163388888,751,345,-1,none
151,1763649017196733333,766,350,-1,none
152,1763649017230066666,776,358,-1,none
153,1763649017263411111,774,346,-1,none
154,1763649017296755555,770,338,-1,none
155,1763649017330100000,769,347,-1,none
156,1763649017363444444,716,447,-1,none
157,1763649017396788888,690,368,-1,none
158,1763649017430122222,790,364,-1,none
159,1763649017463466666,787,333,-1,none
160,1763649017496811111,776,334,-1,none
161,1763649017530155555,773,336,-1,none
162,1763649017563500000,763,344,-1,none
163,1763649017596833333,765,342,-1,none
164,1763649017630177777,766,334,-1,none
165,1763649017663522222,765,328,-1,none
166,1763649017696866666,763,306,-1,none
167,1763649017730211111,760,305,-1,none
168,1763649017763555555,767,304,-1,none
169,1763649017796888888,761,301,-1,none
170,1763649017830233333,763,308,-1,none
171,1763649017863577777,768,315,-1,none
172,1763649017896922222,765,312,-1,none
173,1763649017930266666,762,312,-1,none
174,1763649017963611111,769,323,-1,none
175,1763649017996944444,768,296,-1,none
176,1763649018030288888,771,301,-1,none
177,1763649018063633333,780,306,-1,none
178,1763649018096977777,781,302,-1,none
179,1763649018130322222,782,306,-1,none
180,1763649018163655555,779,312,-1,none
181,1763649018197000000,784,317,-1,none
182,1763649018230344444,782,317,-1,none
183,1763649018263688888,788,325,-1,none
184,1763649018297033333,792,317,-1,none
185,1763649018330377777,797,316,-1,none
186,1763649018363711111,795,312,-1,none
187,1763649018397055555,790,299,-1,none
188,1763649018430400000,789,309,-1,none
189,1763649018463744444,786,308,-1,none
190,1763649018497088888,780,298,-1,none
191,1763649018530422222,782,301,-1,none
192,1763649018563766666,780,301,-1,none
193,1763649018597111111,781,298,-1,none
194,1763649018630455555,776,309,-1,none
195,1763649018663800000,760,309,-1,none
196,1763649018697144444,746,290,-1,none
197,1763649018730477777,728,296,-1,none
198,1763649018763822222,726,302,-1,none
199,1763649018797166666,722,288,-1,none
200,1763649018830511111,732,277,-1,none
201,1763649018863855555,734,276,-1,none
202,1763649018897188888,738,270,-1,none
203,1763649018930533333,734,272,-1,none
204,1763649018963877777,743,268,-1,none
205,1763649018997222222,745,268,-1,none
206,1763649019030566666,735,279,-1,none
207,1763649019063911111,729,272,-1,none
208,1763649019097244444,719,280,-1,none
209,1763649019130588888,709,278,-1,none
210,1763649019163933333,699,270,-1,none
211,1763649019197277777,689,281,-1,none
212,1763649019230622222,694,293,-1,none
213,1763649019263955555,702,296,-1,none
214,1763649019297300000,701,296,-1,none
215,1763649019330644444,703,289,-1,none
216,1763649019363988888,720,312,-1,none
217,1763649019397333333,649,341,-1,none
218,1763649019430677777,595,383,-1,none
219,1763649019464011111,605,374,-1,none
220,1763649019497355555,603,368,-1,none
221,1763649019530700000,603,361,-1,none
222,1763649019564044444,601,370,-1,none
223,1763649019597388888,851,417,-1,none
224,1763649019630722222,1064,511,202,motorcycle
225,1763649019664066666,1204,524,202,motorcycle
226,1763649019697411111,1123,539,202,motorcycle
227,1763649019730755555,1012,546,202,motorcycle
228,1763649019764100000,942,515,-1,none
229,1763649019797444444,1117,643,202,motorcycle
230,1763649019830777777,1213,749,202,motorcycle
231,1763649019864122222,1208,750,202,motorcycle
232,1763649019897466666,1132,721,202,motorcycle
233,1763649019930811111,1004,696,-1,none
234,1763649019964155555,950,697,-1,none
235,1763649019997500000,876,663,-1,none
236,1763649020030833333,1029,792,-1,none
237,1763649020064177777,972,793,-1,none
238,1763649020097522222,925,780,-1,none
239,1763649020130866666,868,762,-1,none
240,1763649020164211111,818,744,-1,none
241,1763649020197544444,931,710,-1,none
242,1763649020230888888,1110,683,-1,none
243,1763649020264233333,1040,731,-1,none
244,1763649020297577777,1041,751,-1,none
245,1763649020330922222,1397,667,-1,none
246,1763649020364266666,1356,617,-1,none
247,1763649020397600000,1231,596,-1,none
248,1763649020430944444,1169,549,-1,none
249,1763649020464288888,1105,569,-1,none
250,1763649020497633333,1220,573,-1,none
251,1763649020530977777,1310,585,-1,none
252,1763649020564322222,1214,570,-1,none
253,1763649020597655555,1175,552,-1,none
254,1763649020631000000,1126,540,-1,none
255,1763649020664344444,1156,530,-1,none
256,1763649020697688888,1349,589,-1,none
257,1763649020731033333,1287,600,-1,none
258,1763649020764366666,1250,539,-1,none
259,1763649020797711111,1235,517,-1,none
260,1763649020831055555,1224,550,-1,none
261,1763649020864400000,1268,537,-1,none
262,1763649020897744444,1300,537,-1,none
263,1763649020931088888,1303,507,-1,none
264,1763649020964422222,1282,490,-1,none
265,1763649020997766666,1285,508,-1,none
266,1763649021031111111,1262,521,-1,none
267,1763649021064455555,1263,529,-1,none
268,1763649021097800000,1253,503,-1,none
269,1763649021131133333,1272,529,-1,none
270,1763649021164477777,1251,527,-1,none
271,1763649021197822222,1254,504,-1,none
272,1763649021231166666,1257,509,-1,none
273,1763649021264511111,1241,500,-1,none
274,1763649021297855555,1232,487,221,person
275,1763649021331188888,1233,488,221,person
276,1763649021364533333,1242,477,221,person
277,1763649021397877777,1238,477,221,person
278,1763649021431222222,1245,490,221,person
279,1763649021464566666,1245,472,221,person
280,1763649021497900000,1249,478,-1,none
281,1763649021531244444,1257,483,-1,none
282,1763649021564588888,1250,516,-1,none
283,1763649021597933333,1026,422,-1,none
284,1763649021631277777,841,386,-1,none
285,1763649021664622222,717,460,-1,none
286,1763649021697955555,609,483,-1,none
287,1763649021731300000,528,578,-1,none
288,1763649021764644444,435,552,-1,none
289,1763649021797988888,434,533,-1,none
290,1763649021831333333,560,548,-1,none
291,1763649021864666666,728,550,-1,none
292,1763649021898011111,823,592,-1,none
293,1763649021931355555,639,405,-1,none
294,1763649021964700000,488,222,-1,none
295,1763649021998044444,553,215,-1,none
296,1763649022031388888,597,263,-1,none
297,1763649022064722222,668,289,-1,none
298,1763649022098066666,794,548,-1,none
299,1763649022131411111,509,481,328,bicycle
300,1763649022164755555,661,291,-1,none
301,1763649022198100000,658,282,-1,none
302,1763649022231433333,653,281,-1,none
303,1763649022264777777,643,307,-1,none
304,1763649022298122222,637,298,-1,none
305,1763649022331466666,628,301,-1,none
306,1763649022364811111,640,302,-1,none
307,1763649022398155555,628,297,-1,none
308,1763649022431488888,626,299,-1,none
309,1763649022464833333,730,255,-1,none
310,1763649022498177777,1045,206,-1,none
311,1763649022531522222,1044,209,-1,none
312,1763649022564866666,993,197,-1,none
313,1763649022598211111,956,184,-1,none
314,1763649022631544444,939,179,-1,none
315,1763649022664888888,963,174,-1,none
316,1763649022698233333,941,191,-1,none
317,1763649022731577777,931,195,-1,none
318,1763649022764922222,919,197,-1,none
319,1763649022798255555,793,207,-1,none
320,1763649022831600000,514,281,-1,none
321,1763649022864944444,445,287,-1,none
322,1763649022898288888,473,257,-1,none
323,1763649022931633333,498,233,-1,none
324,1763649022964977777,516,222,-1,none
325,1763649022998311111,539,238,-1,none
326,1763649023031655555,542,421,-1,none
327,1763649023065000000,572,618,-1,none
328,1763649023098344444,790,527,-1,none
329,1763649023131688888,749,530,-1,none
330,1763649023165022222,748,534,-1,none
331,1763649023198366666,742,528,-1,none
332,1763649023231711111,751,527,-1,none
333,1763649023265055555,744,525,-1,none
334,1763649023298400000,751,519,-1,none
335,1763649023331744444,753,504,-1,none
336,1763649023365077777,765,508,-1,none
337,1763649023398422222,773,498,-1,none
338,1763649023431766666,784,491,-1,none
339,1763649023465111111,694,430,380,car
340,1763649023498455555,706,437,380,car
341,1763649023531788888,720,447,380,car
342,1763649023565133333,739,441,380,car
343,1763649023598477777,737,432,380,car
344,1763649023631822222,747,425,380,car
345,1763649023665166666,759,431,380,car
346,1763649023698511111,755,440,380,car
347,1763649023731844444,730,405,380,car
348,1763649023765188888,551,429,-1,none
349,1763649023798533333,685,453,-1,none
350,1763649023831877777,743,181,-1,none
351,1763649023865222222,779,109,-1,none
352,1763649023898555555,816,144,-1,none
353,1763649023931900000,829,123,-1,none
354,1763649023965244444,827,171,-1,none
355,1763649023998588888,837,180,-1,none
356,1763649024031933333,830,211,-1,none
357,1763649024065277777,823,263,-1,none
358,1763649024098611111,816,215,-1,none
359,1763649024131955555,813,215,-1,none
360,1763649024165300000,831,251,-1,none
361,1763649024198644444,821,248,-1,none
362,1763649024231988888,828,254,-1,none
363,1763649024265322222,809,296,-1,none
364,1763649024298666666,706,268,-1,none
365,1763649024332011111,706,270,-1,none
366,1763649024365355555,715,291,-1,none
367,1763649024398700000,701,277,-1,none
368,1763649024432044444,707,276,-1,none
369,1763649024465377777,700,288,-1,none
370,1763649024498722222,685,293,-1,none
371,1763649024532066666,678,287,-1,none
372,1763649024565411111,816,269,-1,none
373,1763649024598755555,817,266,-1,none
374,1763649024632100000,808,230,-1,none
375,1763649024665433333,829,242,-1,none
376,1763649024698777777,841,224,-1,none
377,1763649024732122222,851,203,-1,none
378,1763649024765466666,885,234,-1,none
379,1763649024798811111,888,233,-1,none
380,1763649024832144444,890,227,-1,none
381,1763649024865488888,938,246,-1,none
382,1763649024898833333,914,257,-1,none
383,1763649024932177777,923,281,-1,none
384,1763649024965522222,934,283,-1,none
385,1763649024998866666,938,293,-1,none
386,1763649025032200000,940,278,-1,none
387,1763649025065544444,943,284,-1,none
388,1763649025098888888,956,252,-1,none
389,1763649025132233333,804,415,-1,none
390,1763649025165577777,631,550,-1,none
391,1763649025198922222,673,497,-1,none
392,1763649025232255555,949,374,-1,none
393,1763649025265600000,939,363,-1,none
394,1763649025298944444,915,362,203,car
395,1763649025332288888,888,339,203,car
396,1763649025365633333,880,364,203,car
397,1763649025398966666,873,353,203,car
398,1763649025432311111,864,333,203,car
399,1763649025465655555,865,358,203,car
400,1763649025499000000,862,368,203,car
401,1763649025532344444,848,359,203,car
402,1763649025565688888,843,364,203,car
403,1763649025599022222,840,361,203,car
404,1763649025632366666,749,247,-1,none
405,1763649025665711111,744,205,-1,none
406,1763649025699055555,752,205,-1,none
407,1763649025732400000,756,202,-1,none
408,1763649025765733333,765,199,-1,none
409,1763649025799077777,765,196,-1,none
410,1763649025832422222,758,197,-1,none
411,1763649025865766666,745,206,-1,none
412,1763649025899111111,743,201,-1,none
413,1763649025932455555,765,200,-1,none
414,1763649025965788888,855,365,203,car
415,1763649025999133333,858,370,203,car
416,1763649026032477777,840,360,203,car
417,1763649026065822222,836,352,203,car
418,1763649026099166666,825,358,203,car
419,1763649026132500000,818,363,203,car
420,1763649026165844444,827,381,-1,none
421,1763649026199188888,814,369,203,car
422,1763649026232533333,795,373,203,car
423,1763649026265877777,801,372,203,car
424,1763649026299222222,770,196,-1,none
425,1763649026332555555,763,190,-1,none
426,1763649026365900000,768,199,-1,none
427,1763649026399244444,766,218,-1,none
428,1763649026432588888,770,221,-1,none
429,1763649026465933333,761,235,-1,none
430,1763649026499266666,764,249,-1,none
431,1763649026532611111,755,259,-1,none
432,1763649026565955555,761,267,-1,none
433,1763649026599300000,759,253,-1,none
434,1763649026632644444,762,262,-1,none
435,1763649026665988888,769,256,-1,none
436,1763649026699322222,785,271,-1,none
437,1763649026732666666,794,281,-1,none
438,1763649026766011111,809,292,-1,none
439,1763649026799355555,816,295,-1,none
440,1763649026832700000,828,293,-1,none
441,1763649026866033333,831,292,-1,none
442,1763649026899377777,832,282,-1,none
443,1763649026932722222,850,320,-1,none
444,1763649026966066666,841,401,-1,none
445,1763649026999411111,842,394,-1,none
446,1763649027032755555,827,391,-1,none
447,1763649027066088888,825,393,-1,none
448,1763649027099433333,823,393,-1,none
449,1763649027132777777,816,388,203,car
450,1763649027166122222,793,362,203,car
451,1763649027199466666,779,302,203,car
452,1763649027232811111,785,316,203,car
453,1763649027266144444,795,323,203,car
454,1763649027299488888,786,302,203,car
455,1763649027332833333,793,315,203,car
456,1763649027366177777,796,321,203,car
457,1763649027399522222,802,329,203,car
458,1763649027432855555,858,294,203,car
459,1763649027466200000,915,286,203,car
460,1763649027499544444,906,294,203,car
461,1763649027532888888,907,297,-1,none
462,1763649027566233333,906,311,-1,none
463,1763649027599577777,915,323,-1,none
464,1763649027632911111,911,334,-1,none
465,1763649027666255555,912,336,-1,none
466,1763649027699600000,917,321,-1,none
467,1763649027732944444,857,407,203,car
468,1763649027766288888,844,480,-1,none
469,1763649027799622222,841,479,-1,none
470,1763649027832966666,827,473,203,car
471,1763649027866311111,830,463,203,car
472,1763649027899655555,829,474,203,car
473,1763649027933000000,819,486,-1,none
474,1763649027966344444,821,485,203,car
475,1763649027999677777,742,372,203,car
476,1763649028033022222,750,338,203,car
477,1763649028066366666,758,324,-1,none
478,1763649028099711111,776,344,203,car
479,1763649028133055555,787,342,203,car
480,1763649028166400000,801,345,203,car
481,1763649028199733333,798,340,501,car
482,1763649028233077777,737,327,-1,none
483,1763649028266422222,736,330,-1,none
484,1763649028299766666,739,336,-1,none
485,1763649028333111111,735,343,501,car
486,1763649028366444444,735,343,501,car
487,1763649028399788888,737,330,-1,none
488,1763649028433133333,738,334,-1,none
489,1763649028466477777,738,332,-1,none
490,1763649028499822222,887,357,450,car
491,1763649028533166666,862,353,450,car
492,1763649028566500000,872,354,450,car
493,1763649028599844444,859,349,450,car
494,1763649028633188888,863,352,450,car
495,1763649028666533333,855,364,450,car
496,1763649028699877777,836,372,450,car
497,1763649028733211111,831,366,450,car
498,1763649028766555555,897,314,-1,none
499,1763649028799900000,909,310,-1,none
500,1763649028833244444,900,308,-1,none
501,1763649028866588888,930,310,-1,none
502,1763649028899922222,934,326,-1,none
503,1763649028933266666,933,317,-1,none
504,1763649028966611111,930,312,-1,none
505,1763649028999955555,843,317,-1,none
506,1763649029033300000,848,318,-1,none
507,1763649029066644444,850,321,-1,none
508,1763649029099977777,853,321,-1,none
509,1763649029133322222,855,296,-1,none
510,1763649029166666666,847,297,-1,none
511,1763649029200011111,881,365,-1,none
512,1763649029233355555,855,451,-1,none
513,1763649029266700000,849,433,-1,none
514,1763649029300033333,842,432,425,person
515,1763649029333377777,837,445,425,person
516,1763649029366722222,833,446,-1,none
517,1763649029400066666,829,437,450,car
518,1763649029433411111,808,416,450,car
519,1763649029466744444,819,421,450,car
520,1763649029500088888,807,422,450,car
521,1763649029533433333,819,424,450,car
522,1763649029566777777,887,268,-1,none
523,1763649029600122222,890,282,-1,none
524,1763649029633466666,901,268,-1,none
525,1763649029666800000,904,263,-1,none
526,1763649029700144444,903,281,-1,none
527,1763649029733488888,900,290,-1,none
528,1763649029766833333,906,316,-1,none
529,1763649029800177777,728,291,-1,none
530,1763649029833522222,709,301,-1,none
531,1763649029866855555,706,292,-1,none
532,1763649029900200000,701,309,-1,none
533,1763649029933544444,701,319,-1,none
534,1763649029966888888,705,339,-1,none
535,1763649030000233333,702,329,-1,none
536,1763649030033566666,706,349,-1,none
537,1763649030066911111,654,593,-1,none
538,1763649030100255555,876,389,504,truck
539,1763649030133600000,957,316,-1,none
540,1763649030166944444,954,279,-1,none
